,username,mention
371,mp_panek,tterlikowski
372,aszurnasirapli2,andrzejduda
373,adamtorello,oko_press
374,adamtorello,krystpawlowicz
375,adamtorello,tk_gov_pl
376,adamtorello,wiadomoscitvp
377,popielajr,dszczotkowski
378,zaczadzony,wandanowicka
379,jakub_g_g,polskapolicja
380,ogonowskig,nowepsl
381,piotrzytnicki,policja_ksp
382,magdamiesnik,wirtualnapolska
383,ksymenamatysek,prezydentpl
384,ksymenamatysek,andrzejduda
385,__lewica,kgawkowski
386,__lewica,radiowajedynka
387,loggika,partiarazem
388,heresmary_,polskapolicja
389,agataszczerbiak,strajkkobiet
390,micha68545073,pisorgpl
391,micha68545073,__lewica
392,savos_t,pisorgpl
393,mp_panek,polskapolicja
394,onekurdistan,ukchange
395,kom_inek24,jachiraklaudia
396,tomaszmichakow1,polsatnewspl
397,skryckiadam,jachiraklaudia
398,skryckiadam,agabak
399,skryckiadam,michalszczerba
400,skryckiadam,dariusz_jonski
401,skryckiadam,gotracz
402,skryckiadam,ula_zielinska
403,skryckiadam,joankasw
404,przemekwajman,michalszczerba
405,przemekwajman,gotracz
406,przemekwajman,ula_zielinska
407,przemekwajman,jachiraklaudia
408,mp_panek,polskapolicja
409,baryon_lodousty,konfederacja_
410,etakalamorz,martalempart
411,champagnekanyex,agabak
412,smdczestochowa,polityka_pl
413,oseaw3,jachiraklaudia
414,sylwia89978255,pisorgpl
415,ksymenamatysek,polskapolicja
416,kkurzynski,polskapolicja
417,kkurzynski,policja_ksp
418,fulu77,hebanmaja
419,ilymylarryz,mileycyrus
420,95_lucas_,oko_press
421,eobywatele,episkopatnews
422,eobywatele,jasnagoranews
423,castelgandolfo3,pisorgpl
424,castelgandolfo3,konfederacja_
425,lecheltm,pisorgpl
426,tomaszbalus,__lewica
427,tomaszbalus,pisorgpl
428,oko_press,staszekkrawczyk
429,michawojtcz,piotruscinski
