,username,tweets_num,avg_tweet_len,avg_sentiment,avg_mentions,avg_replies,avg_retweets,avg_likes,avg_hashtags,community
34,marta30003582,2,141.5,0.0,0.5,0.0,0.0,0.0,2.5,0
35,chromatydy,231,114.27272727272727,0.11991341991341989,0.09956709956709957,0.5151515151515151,26.865800865800868,0.35064935064935066,0.05194805194805195,0
36,ultrastained,153,64.72549019607843,0.15795206971677558,0.11764705882352941,0.5424836601307189,1828.0392156862745,2.450980392156863,0.0392156862745098,0
37,theresnothinq,51,71.47058823529412,0.1568627450980392,0.6078431372549019,0.11764705882352941,5675.78431372549,0.09803921568627451,0.13725490196078433,0
38,goodiess_s,303,74.42904290429043,0.11001100110011001,0.31353135313531355,0.23432343234323433,2980.4752475247524,1.2475247524752475,0.32673267326732675,0
39,adricz94,9,129.44444444444446,0.3333333333333333,0.6666666666666666,0.0,0.2222222222222222,0.8888888888888888,1.8888888888888888,0
40,lukandrze,32,167.75,0.296875,0.375,0.15625,16.84375,0.96875,0.4375,2
41,jemilewicz,31,167.74193548387098,0.15591397849462368,1.1290322580645162,209.19354838709677,34.806451612903224,127.93548387096774,0.6774193548387096,2
42,wiinterstan,61,93.72131147540983,0.043715846994535526,0.639344262295082,0.16393442622950818,1192.1967213114754,0.08196721311475409,0.16393442622950818,0
43,budzynka,1,152.0,1.0,1.0,0.0,0.0,0.0,3.0,0
44,kasia_narozna,46,122.17391304347827,0.08695652173913043,1.1304347826086956,0.0,451.82608695652175,0.0,0.2608695652173913,0
45,kajae_p,173,97.70520231213872,0.02601156069364162,0.7052023121387283,0.07514450867052024,105.79768786127168,0.3872832369942196,0.08670520231213873,0
46,lostharry_,751,68.25299600532624,0.16955170883266754,0.3621837549933422,0.38881491344873503,2221.2676431424766,1.66711051930759,0.09320905459387484,0
47,ekmatuszczak,243,86.88888888888889,0.08916323731138545,0.17695473251028807,0.3662551440329218,20.209876543209877,0.9300411522633745,0.06995884773662552,0
48,twmoniek,983,89.68769074262462,0.14072566971854866,0.4201424211597152,0.2278738555442523,1865.617497456765,0.5564598168870803,0.07934893184130214,0
49,annslovesbrad,393,111.09669211195929,0.09279050042408822,0.8193384223918575,0.08396946564885496,1018.3587786259542,0.8854961832061069,0.4860050890585242,1
50,_no_one_1111,10,96.2,0.4,1.0,0.0,24284.2,0.0,0.3,0
51,sylwia89978255,26,64.65384615384616,-0.07692307692307693,0.6538461538461539,0.038461538461538464,30.307692307692307,0.6923076923076923,1.2692307692307692,1
52,policja_ksp,39,232.43589743589743,0.1282051282051282,0.1282051282051282,175.07692307692307,52.94871794871795,244.51282051282053,0.05128205128205128,1
53,warszawskisk,8,92.25,-0.25,1.625,1.0,106.5,11.125,0.75,1
54,qhemmoq,79,103.70886075949367,0.06329113924050633,0.569620253164557,0.12658227848101267,1205.2911392405063,0.20253164556962025,0.31645569620253167,0
55,clavdiie,10,123.9,0.1,0.9,0.1,350.0,6.8,1.4,2
56,mlodalewica_,242,130.47520661157026,0.026859504132231406,1.0661157024793388,0.9214876033057852,56.231404958677686,21.90082644628099,0.7727272727272727,2
